CNES - Recursos Físicos - Hospitalar - Leitos Complementares - Brasil
Quantidade existente por Município e Leitos complementares
Período:Fev/2020
"Município";"Unidade intermediária neonatal";"Unidade isolamento";"UTI adulto I";"UTI adulto II";"UTI adulto III";"UTI pediátrica I";"UTI pediátrica II";"UTI pediátrica III";"UTI neonatal I";"UTI neonatal II";"UTI neonatal III";"UTI de Queimados";"UTI coronariana tipo II -UCO tipo II";"UTI coronariana tipo III - UCO tipo III";"Unidade de cuidados intermed neonatal convencional";"Unidade de cuidados intermed neonatal canguru";"Unidade de cuidados intermed pediatrico";"Unidade de cuidados intermed adulto";"Total"
"313170 Itabira";-;5;-;30;-;-;-;-;-;-;-;-;-;-;-;-;-;-;35
"313190 Itabirito";-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"313210 Itacarambi";-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"313240 Itajubá";-;-;-;28;-;-;3;-;-;7;-;-;-;-;-;-;-;-;38
"313250 Itamarandiba";-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3
"313330 Itaobim";-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"313350 Itapecerica";-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;4
"313380 Itaúna";-;-;-;10;-;-;-;-;-;-;-;-;-;-;-;-;-;-;10
"313420 Ituiutaba";-;1;5;10;-;-;-;-;-;-;-;-;-;-;-;-;-;-;16
"313440 Iturama";-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"313510 Janaúba";-;4;-;10;-;-;-;-;-;10;-;-;-;-;-;-;-;2;26
"313540 Jeceaba";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"313580 Jequitinhonha";-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;16;-;18
"313620 João Monlevade";-;2;-;10;-;-;-;-;-;-;-;-;-;-;-;-;-;-;12
"313630 João Pinheiro";-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"313670 Juiz de Fora";-;4;4;156;30;-;18;-;-;54;-;-;20;-;-;-;-;3;289
"313710 Lagamar";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"313720 Lagoa da Prata";-;-;-;10;-;-;-;-;-;-;-;-;-;-;-;-;-;-;10
"313770 Lajinha";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"313790 Lamim";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"313800 Laranjal";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"313820 Lavras";-;2;-;20;-;-;3;-;-;13;-;-;-;-;-;-;-;-;38
"313840 Leopoldina";-;2;-;7;-;-;1;-;-;-;-;-;-;-;-;-;-;-;10
"313940 Manhuaçu";-;-;-;11;-;-;-;-;-;5;-;-;-;-;4;2;-;-;22
"313950 Manhumirim";-;1;-;10;-;-;-;-;-;-;-;-;-;-;-;-;-;-;11
"313960 Mantena";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"314000 Mariana";2;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;4
"314090 Matipó";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1
"314110 Matozinhos";-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1
"314180 Minas Novas";-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3
"314220 Miraí";-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"314270 Montalvânia";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"314310 Monte Carmelo";-;3;-;-;8;-;-;-;-;-;-;-;-;-;-;-;-;-;11
"314330 Montes Claros";-;-;-;81;-;-;4;-;-;30;-;6;-;-;-;-;-;-;121
"314390 Muriaé";-;8;-;63;-;-;6;-;-;6;-;-;-;-;-;-;-;-;83
"314400 Mutum";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"314470 Nova Era";-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"314480 Nova Lima";-;10;-;27;20;-;11;9;-;24;26;-;-;-;3;-;-;-;130
"314500 Nova Ponte";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"314560 Oliveira";-;-;-;10;-;-;-;-;-;-;-;-;-;-;-;-;-;-;10
"314590 Ouro Branco";-;-;-;8;-;-;-;-;-;-;-;-;-;-;-;-;-;-;8
"314610 Ouro Preto";-;1;-;10;-;-;-;-;-;-;-;-;-;-;-;-;-;3;14
"314710 Pará de Minas";-;-;-;10;-;-;-;-;-;-;-;-;-;-;-;-;-;-;10
"314700 Paracatu";-;5;-;8;-;-;-;-;-;-;-;-;-;-;-;-;-;-;13
"314790 Passos";-;-;-;37;-;-;4;-;-;20;-;-;10;-;-;-;-;-;71
"314800 Patos de Minas";-;-;7;59;-;-;3;-;-;33;-;-;-;-;3;-;-;-;105
"314810 Patrocínio";-;3;-;26;-;-;-;-;-;7;-;-;-;-;3;2;-;-;41
"314870 Pedra Azul";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"315030 Piedade do Rio Grande";-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"315110 Pirapetinga";-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"315120 Pirapora";-;-;-;10;-;-;-;-;-;8;-;-;-;-;2;2;-;-;22
"315150 Piumhi";-;-;-;10;-;-;-;-;-;-;-;-;-;-;-;-;-;-;10
"315180 Poços de Caldas";-;9;11;55;-;6;2;-;2;7;-;-;-;-;-;-;-;-;92
"315190 Pocrane";-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"315200 Pompéu";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"315210 Ponte Nova";-;6;-;30;-;-;-;-;-;10;-;-;-;-;-;-;-;-;46
"315250 Pouso Alegre";-;1;5;35;-;-;10;-;6;17;-;-;-;-;-;-;-;-;74
"315280 Prata";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"315420 Resende Costa";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"315520 Rio Espera";-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"315550 Rio Paranaíba";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"315680 Sabinópolis";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"315790 Santa Margarida";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"315990 Santo Antônio do Amparo";-;-;-;10;-;-;-;-;-;-;-;-;-;-;-;-;-;-;10
"316070 Santos Dumont";-;-;-;6;-;-;-;-;-;-;-;-;-;-;-;-;-;-;6
"316100 São Domingos do Prata";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"316200 São Gonçalo do Sapucaí";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"316220 São João Batista do Glória";-;4;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4
"316250 São João del Rei";-;4;-;20;-;-;3;-;-;7;-;-;-;-;-;-;-;6;40
"316270 São João do Paraíso";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"316370 São Lourenço";-;-;-;10;-;-;-;-;-;12;-;-;-;-;-;-;-;-;22
"316470 São Sebastião do Paraíso";-;-;-;22;-;-;5;-;-;10;-;-;-;-;-;-;-;-;37
"316530 São Vicente de Minas";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"316720 Sete Lagoas";-;2;-;28;-;-;1;-;-;9;-;-;-;-;-;-;-;-;40
"316800 Taiobeiras";-;-;-;10;-;-;-;-;-;8;-;-;-;-;2;-;-;-;20
"316860 Teófilo Otoni";-;1;10;20;-;-;1;-;-;9;-;-;5;-;-;-;-;-;46
"316870 Timóteo";-;-;-;8;-;-;-;-;-;-;-;-;-;-;-;-;-;-;8
"316920 Tombos";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"316930 Três Corações";-;-;-;10;-;-;1;-;-;5;-;-;-;-;-;-;-;-;16
"316935 Três Marias";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"316940 Três Pontas";-;-;-;10;-;-;-;-;-;-;-;-;-;-;-;-;-;-;10
"316970 Turmalina";-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3
"316990 Ubá";-;7;-;27;-;-;4;-;-;6;-;-;-;-;-;-;-;-;44
"317010 Uberaba";-;8;-;63;10;-;14;-;-;34;-;-;-;-;9;-;-;-;138
"317020 Uberlândia";-;13;-;140;52;-;9;13;-;39;15;2;15;19;26;11;-;-;354
"317040 Unaí";-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"317070 Varginha";-;-;2;44;-;-;-;-;-;10;-;-;-;-;3;1;-;-;60
"317120 Vespasiano";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"317130 Viçosa";-;2;-;15;-;-;-;-;-;10;-;-;-;-;-;-;-;-;27
"317170 Virgínia";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"317200 Visconde do Rio Branco";-;-;-;10;-;-;-;-;-;-;-;-;-;-;-;-;-;-;10
"320020 Alegre";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"320040 Anchieta";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"320060 Aracruz";-;-;-;10;-;-;-;-;-;-;-;-;-;-;-;-;-;-;10
"320080 Baixo Guandu";-;1;-;-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;3
"320090 Barra de São Francisco";-;1;10;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;11
"320120 Cachoeiro de Itapemirim";-;3;7;61;-;1;23;-;3;24;-;-;-;-;14;7;-;-;143
"320130 Cariacica";-;2;6;38;-;-;-;-;-;-;-;2;10;-;-;-;-;-;58
"320150 Colatina";-;9;8;44;-;4;-;-;13;21;-;-;-;-;-;-;-;-;99
"320170 Conceição do Castelo";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"320230 Guaçuí";-;-;-;20;-;-;-;-;-;-;-;-;-;-;-;-;-;-;20
"320240 Guarapari";-;-;-;-;-;-;2;-;-;8;-;-;-;-;-;-;-;-;10
"320245 Ibatiba";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3;3
"320260 Iconha";-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"320270 Itaguaçu";-;6;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;6
"320290 Itarana";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"320310 Jerônimo Monteiro";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"320316 Laranja da Terra";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"320320 Linhares";-;4;10;18;-;-;-;-;-;10;-;-;10;-;6;3;1;14;76
"320340 Mimoso do Sul";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"320390 Nova Venécia";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"320435 Rio Bananal";-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"320460 Santa Teresa";-;3;-;10;-;-;-;-;-;-;-;-;-;-;-;-;-;-;13
"320470 São Gabriel da Palha";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"320480 São José do Calçado";-;1;-;10;-;-;-;-;-;-;-;-;-;-;-;-;-;-;11
"320490 São Mateus";-;4;19;19;-;5;-;-;5;-;-;-;10;-;-;-;-;-;62
"320500 Serra";-;3;-;155;-;-;5;-;10;54;-;8;9;-;30;10;-;13;297
"320506 Venda Nova do Imigrante";-;1;-;10;-;-;-;-;-;-;-;-;-;-;-;-;-;2;13
"320520 Vila Velha";-;3;-;86;-;-;15;-;-;51;-;-;10;-;19;6;-;4;194
"320530 Vitória";5;12;25;150;-;28;18;-;4;54;-;6;8;-;22;5;-;12;349
"330010 Angra dos Reis";7;3;6;17;-;-;-;-;-;6;-;-;-;-;8;-;4;37;88
"330020 Araruama";-;5;-;16;-;-;4;-;-;-;-;-;-;-;-;-;-;7;32
"330023 Armação dos Búzios";1;2;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;2;6
"330025 Arraial do Cabo";-;1;-;8;-;-;3;-;-;3;-;-;-;-;-;-;-;-;15
"330030 Barra do Piraí";-;2;-;7;7;-;-;-;-;-;-;-;-;-;-;-;-;-;16
"330040 Barra Mansa";-;6;25;18;-;-;7;-;-;21;-;-;-;-;-;-;-;-;77
"330045 Belford Roxo";-;5;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;6
"330050 Bom Jardim";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;2
"330060 Bom Jesus do Itabapoana";-;2;-;10;-;-;-;-;-;-;-;-;-;-;-;-;-;-;12
"330070 Cabo Frio";-;11;33;22;-;-;2;-;-;15;-;-;-;-;-;-;-;3;86
"330080 Cachoeiras de Macacu";4;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;6
"330090 Cambuci";-;2;-;4;-;-;-;-;-;-;-;-;-;-;-;-;-;-;6
"330100 Campos dos Goytacazes";-;14;4;173;31;1;10;16;2;23;79;-;-;-;27;10;-;18;408
"330110 Cantagalo";-;-;-;20;-;-;-;-;-;-;-;-;-;-;-;-;-;-;20
"330120 Carmo";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3;4
"330130 Casimiro de Abreu";-;4;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;4;9
"330170 Duque de Caxias";-;16;25;77;38;10;11;36;8;12;70;-;12;-;23;-;5;13;356
"330185 Guapimirim";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"330190 Itaboraí";-;3;10;8;-;-;-;-;-;-;-;-;-;-;-;-;-;-;21
"330200 Itaguaí";-;2;-;10;-;-;-;-;-;-;-;-;-;-;-;-;-;-;12
"330210 Itaocara";-;1;4;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4;9
"330220 Itaperuna";3;2;-;65;27;-;4;-;-;16;-;-;-;-;-;-;-;-;117
"330240 Macaé";-;9;17;47;10;5;6;-;5;17;20;-;-;-;4;-;-;8;148
"330250 Magé";-;4;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3;7
"330270 Maricá";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5;5
"330285 Mesquita";-;-;-;-;-;-;-;-;-;10;-;-;-;-;15;-;-;-;25
"330290 Miguel Pereira";-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3
"330300 Miracema";1;2;9;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;12
"330320 Nilópolis";-;-;2;6;-;-;-;-;13;-;-;9;-;-;-;-;-;4;34
"330330 Niterói";-;26;103;81;36;22;10;-;49;26;-;-;20;10;13;4;-;17;417
"330340 Nova Friburgo";-;9;-;28;-;-;-;-;4;-;-;-;-;-;7;-;-;15;63
"330350 Nova Iguaçu";-;7;22;46;-;20;5;9;5;53;34;-;-;-;23;-;11;-;235
"330370 Paraíba do Sul";-;2;-;7;-;-;-;-;-;-;-;-;-;-;-;-;-;2;11
"330380 Paraty";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"330390 Petrópolis";-;14;25;70;62;2;-;3;4;10;7;-;-;-;10;8;-;-;215
"330395 Pinheiral";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"330400 Piraí";-;1;-;-;-;-;-;-;-;-;-;-;-;-;3;-;-;-;4
"330411 Porto Real";-;1;-;6;-;-;-;-;-;-;-;-;-;-;-;-;-;-;7
"330412 Quatis";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"330415 Quissamã";-;2;-;6;-;-;-;-;-;-;-;-;-;-;-;-;-;-;8
"330420 Resende";-;19;-;19;16;-;5;-;-;20;-;-;-;6;8;-;-;7;100
"330430 Rio Bonito";-;-;-;10;-;-;-;-;-;-;-;-;-;-;-;-;-;3;13
"330440 Rio Claro";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1
"330452 Rio das Ostras";-;-;10;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;10
"330455 Rio de Janeiro";14;169;980;647;640;79;141;58;132;245;155;27;33;18;207;54;54;390;4043
"330470 Santo Antônio de Pádua";-;2;8;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;10
"330480 São Fidélis";-;-;-;10;-;-;-;-;-;-;-;-;-;-;-;-;-;2;12
"330490 São Gonçalo";-;6;41;94;10;10;17;-;-;10;-;-;-;-;-;-;-;31;219
"330510 São João de Meriti";-;3;7;10;-;-;-;-;19;20;-;-;-;-;29;-;-;-;88
"330515 São José do Vale do Rio Preto";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"330520 São Pedro da Aldeia";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"330530 São Sebastião do Alto";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3;4
"330550 Saquarema";-;1;-;15;-;-;-;-;-;13;-;-;-;-;-;-;-;11;40
"330580 Teresópolis";-;-;-;30;-;-;-;-;-;-;-;-;-;-;6;-;-;-;36
"330590 Trajano de Moraes";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;2;3
"330600 Três Rios";-;-;-;10;-;-;-;-;-;-;-;-;-;-;-;-;-;-;10
"330610 Valença";-;-;-;20;-;-;-;-;-;10;-;-;-;-;-;-;-;3;33
"330615 Varre-Sai";-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;3
"330620 Vassouras";-;3;-;35;-;-;-;-;-;18;-;-;-;-;8;4;-;-;68
"330630 Volta Redonda";-;10;12;102;4;6;20;-;-;45;6;2;-;-;10;2;-;4;223
"350010 Adamantina";-;-;-;5;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5
"350160 Americana";-;-;-;27;9;-;6;-;-;15;6;-;-;-;-;-;-;-;63
"350170 Américo Brasiliense";-;-;-;10;-;-;-;-;-;-;-;-;-;-;-;-;-;-;10
"350190 Amparo";-;1;-;9;-;-;-;-;-;-;-;-;-;-;-;-;-;-;10
"350210 Andradina";-;-;-;10;-;-;-;-;-;-;-;-;-;-;-;-;-;-;10
"350250 Aparecida";-;-;-;9;-;-;-;-;-;-;-;-;-;-;-;-;-;-;9
"350280 Araçatuba";-;8;8;20;-;5;3;-;-;17;-;-;-;-;10;4;-;12;87
"350320 Araraquara";-;-;14;18;-;3;3;-;6;8;-;-;-;-;9;3;-;-;64
"350330 Araras";-;5;10;-;11;1;-;3;4;-;4;-;-;4;3;-;-;-;45
"350390 Arujá";-;5;-;8;-;-;-;-;-;10;-;-;-;-;-;-;-;-;23
"350400 Assis";-;1;6;21;-;1;3;-;3;9;-;-;-;-;6;3;-;-;53
"350410 Atibaia";-;-;21;-;-;-;-;-;6;-;-;-;-;-;-;-;-;-;27
"350450 Avaré";-;5;-;10;-;-;-;-;-;-;-;-;-;-;-;-;-;-;15
"350520 Bariri";-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5;7
"350530 Barra Bonita";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;6;7
"350550 Barretos";-;6;18;26;30;-;-;8;-;-;8;-;-;-;8;4;-;-;108
"350570 Barueri";-;10;13;20;-;2;8;-;5;11;-;-;-;-;18;-;-;6;93
"350590 Batatais";-;-;-;8;-;-;-;-;-;-;-;-;-;-;-;-;-;-;8
"350600 Bauru";-;5;32;68;-;4;20;-;11;17;-;4;9;-;11;2;-;13;196
"350610 Bebedouro";-;3;-;6;-;-;-;-;-;-;-;-;-;-;-;-;-;-;9
"350650 Birigui";-;1;5;10;-;-;-;-;-;-;-;-;-;-;-;-;-;-;16
"350750 Botucatu";-;1;5;-;30;-;-;7;2;-;17;-;-;-;15;5;-;3;85
"350760 Bragança Paulista";-;8;10;30;-;-;4;-;-;11;-;-;-;-;7;5;-;-;75
"350790 Brotas";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"350850 Caçapava";-;1;-;5;-;-;-;-;-;-;-;-;-;-;-;-;-;-;6
"350900 Caieiras";-;5;7;-;-;4;-;-;4;6;-;-;-;-;6;-;-;2;34
"350920 Cajamar";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"350950 Campinas";1;27;130;174;79;19;21;36;34;54;15;-;20;-;43;-;-;32;685
"350960 Campo Limpo Paulista";-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"351020 Capão Bonito";-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"351040 Capivari";-;-;-;10;-;-;-;-;-;-;-;-;-;-;-;-;-;-;10
"351050 Caraguatatuba";-;2;-;6;-;-;-;-;-;10;-;-;-;-;-;-;-;-;18
"351060 Carapicuíba";-;1;6;20;-;-;6;-;-;13;-;-;-;-;14;2;-;-;62
"351110 Catanduva";-;-;-;33;-;-;9;-;-;7;10;3;2;-;7;2;-;-;73
"351140 Cerqueira César";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;2
"351150 Cerquilho";-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3;5
"351280 Cosmópolis";-;-;-;7;-;-;-;-;-;-;-;-;-;-;-;-;-;-;7
"351300 Cotia";-;3;18;10;-;-;-;-;-;6;-;-;-;-;6;-;9;9;61
"351340 Cruzeiro";-;-;-;10;-;-;-;-;-;-;-;-;-;-;-;-;-;-;10
"351350 Cubatão";-;2;-;7;-;2;-;-;-;6;-;-;-;-;-;-;-;-;17
"351380 Diadema";-;6;12;28;-;9;9;-;-;17;-;-;-;-;28;6;-;16;131
"351440 Dracena";-;-;-;10;-;-;-;-;-;-;-;-;-;-;-;-;-;-;10
"351550 Fernandópolis";-;-;-;10;-;-;-;-;-;-;-;-;-;-;-;-;-;-;10
"351570 Ferraz de Vasconcelos";17;-;-;10;-;-;7;-;-;20;-;-;-;-;17;-;-;-;71
"351620 Franca";-;3;8;10;28;2;5;5;-;13;2;-;-;-;16;3;-;-;95
"351630 Francisco Morato";1;3;-;-;10;-;8;-;-;-;11;-;-;-;7;3;-;4;47
"351640 Franco da Rocha";-;8;10;11;-;-;-;-;-;-;-;-;-;-;-;-;-;3;32
"351670 Garça";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1
"351760 Guapiara";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;3
"351840 Guaratinguetá";-;2;-;54;-;3;-;-;-;12;-;6;2;-;-;-;-;-;79
"351870 Guarujá";-;7;-;38;12;-;4;-;-;7;5;-;-;-;6;2;-;-;81
"351880 Guarulhos";-;14;55;108;-;7;34;-;17;53;-;-;-;-;37;-;-;2;327
"351907 Hortolândia";-;1;-;6;-;-;-;-;-;-;-;-;-;-;3;-;-;-;10
"351960 Ibitinga";-;-;10;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;10
"352044 Ilha Solteira";-;4;4;-;-;-;-;-;-;-;-;-;-;-;-;-;-;10;18
"352040 Ilhabela";-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;4
"352050 Indaiatuba";-;-;14;23;-;6;-;-;5;10;-;-;-;-;4;-;-;-;62
"352180 Itaí";-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"352210 Itanhaém";-;-;-;20;-;-;-;-;-;7;-;-;-;-;7;3;-;-;37
"352220 Itapecerica da Serra";-;8;-;20;-;-;6;-;-;10;-;-;-;-;13;3;-;-;60
"352230 Itapetininga";-;6;-;16;-;-;-;-;-;-;-;-;-;-;-;-;-;-;22
"352240 Itapeva";-;2;-;10;-;-;-;-;-;10;-;-;-;-;-;-;-;-;22
"352250 Itapevi";7;10;-;25;-;-;10;-;-;10;-;-;-;-;7;-;-;8;77
"352260 Itapira";-;-;10;5;-;-;-;-;-;-;-;-;-;-;5;-;-;-;20
"352270 Itápolis";-;-;-;9;-;-;-;-;-;-;-;-;-;-;-;-;-;-;9
"352280 Itaporanga";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;3
"352310 Itaquaquecetuba";-;-;-;10;-;-;-;-;-;10;-;-;-;-;-;-;-;-;20
"352320 Itararé";-;4;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;6
"352340 Itatiba";-;1;2;10;-;-;-;-;-;6;-;-;-;-;-;-;-;-;19
"352360 Itirapina";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"352390 Itu";-;-;-;20;-;-;-;-;-;16;-;6;-;-;-;-;-;-;42
"352400 Itupeva";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;2
"352410 Ituverava";-;2;-;10;-;-;-;-;-;-;-;-;-;-;-;-;-;-;12
"352430 Jaboticabal";-;2;-;12;-;-;-;-;-;-;-;-;-;-;-;-;-;-;14
"352440 Jacareí";-;3;9;60;-;-;13;-;2;20;-;-;-;-;7;3;-;-;117
"352480 Jales";-;2;-;20;-;-;-;-;-;5;-;-;-;-;-;-;-;-;27
"352520 Jarinu";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"352530 Jaú";-;1;-;55;-;-;6;-;-;7;-;-;-;-;-;-;-;-;69
"352590 Jundiaí";-;4;-;90;4;-;14;7;2;23;-;1;5;5;11;6;1;12;185
"352640 Laranjal Paulista";-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"352670 Leme";-;-;-;8;-;-;-;-;-;-;-;-;-;-;-;-;-;-;8
"352680 Lençóis Paulista";-;-;5;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5
"352690 Limeira";-;2;17;35;-;-;7;-;13;10;-;12;-;-;9;4;-;-;109
"352710 Lins";-;2;-;23;-;-;-;-;-;9;-;-;-;-;-;-;-;-;34
"352720 Lorena";-;-;10;10;-;-;-;-;-;10;-;-;-;-;-;-;-;-;30
"352730 Louveira";-;-;4;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4
"352810 Macaubal";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1
"352850 Mairiporã";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"352900 Marília";-;7;-;83;-;-;13;-;-;22;-;2;2;-;8;-;-;-;137
"352930 Matão";-;-;-;-;18;-;-;3;-;-;7;-;-;-;5;3;-;-;36
"352940 Mauá";-;1;8;48;-;-;4;-;3;23;-;-;-;-;12;-;-;-;99
"353010 Mirandópolis";2;-;-;10;-;-;-;-;-;-;-;-;-;-;2;-;-;-;14
"353030 Mirassol";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;2
"353050 Mococa";-;-;-;10;-;-;-;-;-;-;-;-;-;-;-;-;-;-;10
"353060 Mogi das Cruzes";-;19;30;48;-;6;37;-;20;9;-;-;10;-;15;2;-;-;196
"353070 Mogi Guaçu";-;2;-;22;-;-;-;-;-;8;-;-;-;-;8;-;-;-;40
"353080 Mogi Mirim";-;7;6;10;2;-;-;-;-;6;-;-;-;-;-;-;-;-;31
"353130 Monte Alto";-;3;3;10;-;-;-;-;-;-;-;-;-;-;-;-;-;-;16
